en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Original DNS destination,Исходный адрес DNS,原始 DNS 目标,原始 DNS 目的地,元の DNS 宛先,원래 DNS 대상,Destination DNS d’origine
DNS provider,DNS-провайдер,DNS 提供商,DNS 提供者,DNS プロバイダー,DNS 제공자,Fournisseur DNS
"Choose a known DNS provider, keep the original DNS destination, or select Custom to enter primary and fallback addresses.","Выберите известного DNS-провайдера, сохраните исходный DNS-адрес назначения или выберите «Пользовательский», чтобы задать основной и резервный адреса.",选择已知 DNS 提供商、保留原始 DNS 目标，或选择“自定义”以输入主 DNS 和备用 DNS 地址。,選擇已知 DNS 提供者、保留原始 DNS 目的地，或選擇「自訂」以輸入主要與備用 DNS 位址。,既知の DNS プロバイダーを選択するか、元の DNS 宛先を維持するか、「カスタム」を選択してプライマリとフォールバックのアドレスを入力します。,"알려진 DNS 제공자를 선택하거나 원래 DNS 대상을 유지하거나, 사용자 지정을 선택해 기본 및 보조 주소를 입력하세요.","Choisissez un fournisseur DNS connu, conservez la destination DNS d’origine ou sélectionnez Personnalisé pour saisir les adresses principale et de secours."
Primary DNS server,Основной DNS-сервер,主 DNS 服务器,主要 DNS 伺服器,プライマリ DNS サーバー,기본 DNS 서버,Serveur DNS principal
Fallback DNS server,Резервный DNS-сервер,备用 DNS 服务器,備用 DNS 伺服器,フォールバック DNS サーバー,보조 DNS 서버,Serveur DNS de secours
Primary IPv4 or IPv6 DNS server. In Custom mode this address is used first.,Основной IPv4- или IPv6-адрес DNS-сервера. В пользовательском режиме этот адрес используется первым.,主 IPv4 或 IPv6 DNS 服务器。在自定义模式下优先使用此地址。,主要 IPv4 或 IPv6 DNS 伺服器。在自訂模式下會優先使用此位址。,プライマリ IPv4 または IPv6 DNS サーバー。カスタムモードではこのアドレスが最初に使用されます。,기본 IPv4 또는 IPv6 DNS 서버입니다. 사용자 지정 모드에서는 이 주소를 먼저 사용합니다.,"Serveur DNS IPv4 ou IPv6 principal. En mode Personnalisé, cette adresse est utilisée en premier."
Fallback IPv4 or IPv6 DNS server. UDP queries are retried here when the primary resolver does not answer; TCP falls back when the primary connection fails.,"Резервный IPv4- или IPv6-адрес DNS-сервера. UDP-запросы повторяются через него, если основной резолвер не отвечает; TCP переключается на него при ошибке подключения к основному.",备用 IPv4 或 IPv6 DNS 服务器。主解析器未响应时 UDP 查询会在此重试；主连接失败时 TCP 会切换到此服务器。,備用 IPv4 或 IPv6 DNS 伺服器。主要解析器未回應時 UDP 查詢會在此重試；主要連線失敗時 TCP 會切換至此伺服器。,フォールバック IPv4 または IPv6 DNS サーバー。プライマリが応答しない場合は UDP クエリをここで再試行し、TCP はプライマリ接続失敗時に切り替えます。,"보조 IPv4 또는 IPv6 DNS 서버입니다. 기본 리졸버가 응답하지 않으면 UDP 쿼리를 여기서 재시도하고, TCP는 기본 연결 실패 시 전환합니다.",Serveur DNS IPv4 ou IPv6 de secours. Les requêtes UDP y sont réessayées si le résolveur principal ne répond pas ; TCP bascule en cas d’échec de la connexion principale.
Administrator Mode redirects UDP/TCP DNS queries to the selected resolver. The fallback server is used only after the primary path fails or does not answer in time.,Режим администратора перенаправляет DNS-запросы UDP/TCP на выбранный резолвер. Резервный сервер используется только при ошибке основного пути или отсутствии ответа вовремя.,管理员模式将 UDP/TCP DNS 查询重定向到所选解析器。仅当主路径失败或未及时响应时才使用备用服务器。,系統管理員模式會將 UDP/TCP DNS 查詢重新導向至所選解析器。只有主要路徑失敗或未及時回應時才使用備用伺服器。,管理者モードは UDP/TCP DNS クエリを選択したリゾルバーへリダイレクトします。フォールバックはプライマリ経路が失敗または時間内に応答しない場合のみ使用されます。,관리자 모드는 UDP/TCP DNS 쿼리를 선택한 리졸버로 리디렉션합니다. 보조 서버는 기본 경로가 실패하거나 제시간에 응답하지 않을 때만 사용됩니다.,Le mode Administrateur redirige les requêtes DNS UDP/TCP vers le résolveur choisi. Le serveur de secours n’est utilisé qu’en cas d’échec ou de non-réponse du chemin principal.
Enter a valid primary IPv4 or IPv6 DNS server address.,Введите корректный основной IPv4- или IPv6-адрес DNS-сервера.,请输入有效的主 IPv4 或 IPv6 DNS 服务器地址。,請輸入有效的主要 IPv4 或 IPv6 DNS 伺服器位址。,有効なプライマリ IPv4 または IPv6 DNS サーバーアドレスを入力してください。,올바른 기본 IPv4 또는 IPv6 DNS 서버 주소를 입력하세요.,Saisissez une adresse IPv4 ou IPv6 valide pour le serveur DNS principal.
Enter a valid fallback IPv4 or IPv6 DNS server address.,Введите корректный резервный IPv4- или IPv6-адрес DNS-сервера.,请输入有效的备用 IPv4 或 IPv6 DNS 服务器地址。,請輸入有效的備用 IPv4 或 IPv6 DNS 伺服器位址。,有効なフォールバック IPv4 または IPv6 DNS サーバーアドレスを入力してください。,올바른 보조 IPv4 또는 IPv6 DNS 서버 주소를 입력하세요.,Saisissez une adresse IPv4 ou IPv6 valide pour le serveur DNS de secours.
Enter a primary DNS server before configuring a fallback server.,Перед резервным DNS-сервером укажите основной.,配置备用 DNS 服务器前请先指定主 DNS 服务器。,設定備用 DNS 伺服器前請先指定主要 DNS 伺服器。,フォールバック DNS サーバーを設定する前にプライマリ DNS サーバーを指定してください。,보조 DNS 서버를 구성하기 전에 기본 DNS 서버를 입력하세요.,Indiquez un serveur DNS principal avant de configurer un serveur de secours.
DNS server settings applied.,Настройки DNS-серверов применены.,DNS 服务器设置已应用。,DNS 伺服器設定已套用。,DNS サーバー設定を適用しました。,DNS 서버 설정이 적용되었습니다.,Paramètres des serveurs DNS appliqués.
Route Direct DNS through Shadowsocks,Направлять Direct DNS через Shadowsocks,通过 Shadowsocks 路由 Direct DNS,透過 Shadowsocks 路由 Direct DNS,Direct DNS を Shadowsocks 経由にする,Direct DNS를 Shadowsocks로 라우팅,Acheminer le DNS direct via Shadowsocks
Send queries to the selected Direct DNS primary/fallback servers through the active local Shadowsocks SOCKS5 proxy instead of connecting to them directly.,Отправлять запросы к выбранным основному и резервному Direct DNS-серверам через локальный SOCKS5-прокси Shadowsocks вместо прямого подключения.,通过本地 Shadowsocks SOCKS5 代理向所选 Direct DNS 主/备用服务器发送查询，而不是直接连接。,透過本機 Shadowsocks SOCKS5 Proxy 向所選 Direct DNS 主要/備用伺服器傳送查詢，而不是直接連線。,選択した Direct DNS のプライマリ／フォールバックサーバーへの問い合わせを、直接接続せずローカル Shadowsocks SOCKS5 プロキシ経由で送信します。,선택한 Direct DNS 기본/보조 서버로의 질의를 직접 연결하지 않고 로컬 Shadowsocks SOCKS5 프록시를 통해 전송합니다.,Envoyer les requêtes vers les serveurs DNS directs principal/de secours sélectionnés via le proxy SOCKS5 local de Shadowsocks au lieu de s’y connecter directement.
Direct DNS queries are routed to the selected resolver through Shadowsocks.,Запросы Direct DNS направляются к выбранному резолверу через Shadowsocks.,Direct DNS 查询通过 Shadowsocks 路由到所选解析器。,Direct DNS 查詢會透過 Shadowsocks 路由到所選解析器。,Direct DNS クエリは Shadowsocks 経由で選択したリゾルバーへ送信されます。,Direct DNS 질의가 Shadowsocks를 통해 선택한 리졸버로 라우팅됩니다.,Les requêtes DNS directes sont acheminées vers le résolveur sélectionné via Shadowsocks.
"Filter resolvers by name, country code, country name, or description.","Фильтровать резолверы по имени, коду страны, названию страны или описанию.",按名称、国家/地区代码、国家/地区名称或描述筛选解析器。,依名稱、國家/地區代碼、國家/地區名稱或描述篩選解析器。,名前、国コード、国名、説明でリゾルバーを絞り込みます。,"이름, 국가 코드, 국가 이름 또는 설명으로 리졸버를 필터링합니다.","Filtrer les résolveurs par nom, code pays, nom du pays ou description."
"In Administrator Mode, DNSCrypt always blocks intercepted plaintext DNS while starting, restarting, or unavailable.","В режиме администратора DNSCrypt всегда блокирует перехваченный незашифрованный DNS во время запуска, перезапуска или недоступности.",在管理员模式下，DNSCrypt 在启动、重启或不可用时始终阻止被拦截的明文 DNS。,在系統管理員模式下，DNSCrypt 在啟動、重新啟動或不可用時一律封鎖被攔截的明文 DNS。,管理者モードでは、DNSCrypt は起動中、再起動中、または利用できない場合も、インターセプトした平文 DNS を常にブロックします。,"관리자 모드에서 DNSCrypt는 시작, 재시작 또는 사용 불가 상태 동안 가로챈 평문 DNS를 항상 차단합니다.","En mode administrateur, DNSCrypt bloque toujours le DNS en clair intercepté pendant le démarrage, le redémarrage ou en cas d’indisponibilité."
Protocol,Протокол,协议,協定,プロトコル,프로토콜,Protocole
All protocols,Все протоколы,所有协议,所有協定,すべてのプロトコル,모든 프로토콜,Tous les protocoles
"Automatically select a resolver from DNSCrypt Proxy's signed catalog using the DNSSEC, no-log, unfiltered and address-family settings.","Автоматически выбирать резолвер из подписанного каталога DNSCrypt Proxy с учётом настроек DNSSEC, отсутствия журналирования, отсутствия фильтрации и семейства адресов.",根据 DNSSEC、无日志、无过滤和地址族设置，从 DNSCrypt Proxy 的签名目录中自动选择解析器。,依據 DNSSEC、無日誌、無過濾及位址家族設定，從 DNSCrypt Proxy 的簽署目錄中自動選擇解析器。,DNSSEC、ログなし、フィルタなし、アドレスファミリーの設定に従い、DNSCrypt Proxy の署名済みカタログからリゾルバーを自動選択します。,"DNSSEC, 무로그, 무필터 및 주소 패밀리 설정에 따라 DNSCrypt Proxy의 서명된 카탈로그에서 리졸버를 자동 선택합니다.","Sélectionner automatiquement un résolveur dans le catalogue signé de DNSCrypt Proxy selon les paramètres DNSSEC, sans journalisation, sans filtrage et de famille d’adresses."
Choose one or more DNSCrypt or DoH resolvers manually from the signed upstream catalog.,Вручную выбрать один или несколько DNSCrypt- или DoH-резолверов из подписанного каталога.,从已签名的上游目录中手动选择一个或多个 DNSCrypt 或 DoH 解析器。,從已簽署的上游目錄中手動選擇一個或多個 DNSCrypt 或 DoH 解析器。,署名済みアップストリームカタログから DNSCrypt または DoH リゾルバーを1つ以上手動で選択します。,서명된 업스트림 카탈로그에서 하나 이상의 DNSCrypt 또는 DoH 리졸버를 수동으로 선택합니다.,Choisir manuellement un ou plusieurs résolveurs DNSCrypt ou DoH dans le catalogue amont signé.
Automatic mode selects a filtered resolver from DNSCrypt Proxy's signed catalog.,Автоматический режим выбирает резолвер из подписанного каталога DNSCrypt Proxy с применением фильтров.,自动模式从 DNSCrypt Proxy 的签名目录中选择经过筛选的解析器。,自動模式會從 DNSCrypt Proxy 的簽署目錄中選擇經篩選的解析器。,自動モードでは DNSCrypt Proxy の署名済みカタログからフィルタ条件に合うリゾルバーを選択します。,자동 모드는 DNSCrypt Proxy의 서명된 카탈로그에서 필터 조건에 맞는 리졸버를 선택합니다.,Le mode automatique sélectionne un résolveur filtré dans le catalogue signé de DNSCrypt Proxy.
Automatic filtered selection is active ({0} resolver(s)).,Автоматический выбор с фильтрами активен ({0} резолвер(а/ов)).,自动筛选选择已启用（{0} 个解析器）。,自動篩選選擇已啟用（{0} 個解析器）。,フィルタ付き自動選択が有効です（{0} リゾルバー）。,필터가 적용된 자동 선택이 활성화되었습니다({0}개 리졸버).,La sélection automatique filtrée est active ({0} résolveur(s)).
Automatic filtered resolver is starting.,Автоматически выбранный с учётом фильтров резолвер запускается.,自动筛选的解析器正在启动。,自動篩選的解析器正在啟動。,フィルタ条件で自動選択されたリゾルバーを起動しています。,필터 조건으로 자동 선택된 리졸버를 시작하는 중입니다.,Le résolveur sélectionné automatiquement avec les filtres démarre.
Filter the signed resolver catalog by transport protocol: DNSCrypt or DNS-over-HTTPS.,Фильтровать подписанный каталог резолверов по транспортному протоколу: DNSCrypt или DNS-over-HTTPS.,按传输协议筛选已签名的解析器目录：DNSCrypt 或 DNS-over-HTTPS。,依傳輸協定篩選已簽署的解析器目錄：DNSCrypt 或 DNS-over-HTTPS。,署名済みリゾルバーカタログをトランスポートプロトコル（DNSCrypt または DNS-over-HTTPS）で絞り込みます。,서명된 리졸버 카탈로그를 전송 프로토콜(DNSCrypt 또는 DNS-over-HTTPS)로 필터링합니다.,Filtrer le catalogue signé des résolveurs par protocole de transport : DNSCrypt ou DNS-over-HTTPS.
Select the DNSCrypt or DoH resolvers DNSCrypt Proxy may use in manual-selection mode. Ping is measured asynchronously; the active resolver is replaced with DNSCrypt Proxy's actual RTT when available.,"Выберите DNSCrypt- или DoH-резолверы, которые DNSCrypt Proxy может использовать в ручном режиме. Ping измеряется асинхронно; для активного резолвера используется фактический RTT DNSCrypt Proxy, когда он доступен.",选择 DNSCrypt Proxy 在手动模式下可使用的 DNSCrypt 或 DoH 解析器。Ping 会异步测量；如果可用，活动解析器将显示 DNSCrypt Proxy 的实际 RTT。,選擇 DNSCrypt Proxy 在手動模式下可使用的 DNSCrypt 或 DoH 解析器。Ping 會非同步測量；若可用，作用中解析器將顯示 DNSCrypt Proxy 的實際 RTT。,手動選択モードで DNSCrypt Proxy が使用できる DNSCrypt または DoH リゾルバーを選択します。Ping は非同期で測定され、利用可能な場合はアクティブなリゾルバーに DNSCrypt Proxy の実測 RTT が表示されます。,수동 선택 모드에서 DNSCrypt Proxy가 사용할 DNSCrypt 또는 DoH 리졸버를 선택합니다. Ping은 비동기로 측정되며 가능한 경우 활성 리졸버에는 DNSCrypt Proxy의 실제 RTT가 표시됩니다.,Sélectionnez les résolveurs DNSCrypt ou DoH que DNSCrypt Proxy peut utiliser en mode manuel. Le ping est mesuré de façon asynchrone ; le RTT réel de DNSCrypt Proxy est utilisé pour le résolveur actif lorsqu’il est disponible.
"Filter resolvers by name, protocol, country code, country name, or description.","Фильтровать резолверы по имени, протоколу, коду страны, названию страны или описанию.",按名称、协议、国家/地区代码、国家/地区名称或描述筛选解析器。,依名稱、協定、國家/地區代碼、國家/地區名稱或描述篩選解析器。,名前、プロトコル、国コード、国名、または説明でリゾルバーを絞り込みます。,"이름, 프로토콜, 국가 코드, 국가 이름 또는 설명으로 리졸버를 필터링합니다.","Filtrer les résolveurs par nom, protocole, code pays, nom du pays ou description."
DNS privacy,Конфиденциальность DNS,DNS 隐私,DNS 隱私,DNS プライバシー,DNS 개인정보 보호,Confidentialité DNS
DNS interception,Перехват DNS,DNS 拦截,DNS 攔截,DNS インターセプト,DNS 가로채기,Interception DNS
Upstream,Вышестоящий сервер,上游,上游,アップストリーム,업스트림,Serveur amont
Secure transport,Защищённый транспорт,安全传输,安全傳輸,セキュア転送,보안 전송,Transport sécurisé
Plaintext DNS fallback,Резервный незашифрованный DNS,明文 DNS 回退,明文 DNS 回退,平文 DNS フォールバック,평문 DNS 폴백,Repli DNS en clair
Plaintext bootstrap,Незашифрованный bootstrap DNS,明文引导 DNS,明文啟動 DNS,平文ブートストラップ DNS,평문 부트스트랩 DNS,Bootstrap DNS en clair
Shadowsocks route,Маршрут Shadowsocks,Shadowsocks 路由,Shadowsocks 路由,Shadowsocks ルート,Shadowsocks 경로,Routage Shadowsocks
Privacy self-test,Самопроверка конфиденциальности,隐私自检,隱私自檢,プライバシー自己診断,개인정보 보호 자체 검사,Auto-test de confidentialité
Run privacy self-test,Запустить самопроверку конфиденциальности,运行隐私自检,執行隱私自檢,プライバシー自己診断を実行,개인정보 보호 자체 검사 실행,Exécuter l’auto-test de confidentialité
Administrator Mode required,Требуется режим администратора,需要管理员模式,需要系統管理員模式,管理者モードが必要です,관리자 모드 필요,Mode Administrateur requis
Blocked,Заблокирован,已阻止,已封鎖,ブロック済み,차단됨,Bloqué
Allowed,Разрешён,允许,允許,許可,허용됨,Autorisé
Disabled in DNS runtime,Отключён в рабочем DNS,在 DNS 运行时中已禁用,在 DNS 執行階段中已停用,DNS ランタイムでは無効,DNS 런타임에서 비활성화됨,Désactivé dans le runtime DNS
Through Shadowsocks,Через Shadowsocks,通过 Shadowsocks,透過 Shadowsocks,Shadowsocks 経由,Shadowsocks 경유,Via Shadowsocks
Direct from DNSCrypt Proxy,Напрямую из DNSCrypt Proxy,从 DNSCrypt Proxy 直接连接,從 DNSCrypt Proxy 直接連線,DNSCrypt Proxy から直接,DNSCrypt Proxy에서 직접,Direct depuis DNSCrypt Proxy
Not run,Не запускалась,未运行,未執行,未実行,실행 안 됨,Non exécuté
Passed,Пройдена,通过,通過,成功,통과,Réussi
Testing DNS privacy,Проверка конфиденциальности DNS,正在测试 DNS 隐私,正在測試 DNS 隱私,DNS プライバシーをテスト中,DNS 개인정보 보호 테스트 중,Test de la confidentialité DNS
DNS privacy self-test passed.,Самопроверка конфиденциальности DNS пройдена.,DNS 隐私自检通过。,DNS 隱私自檢通過。,DNS プライバシー自己診断に成功しました。,DNS 개인정보 보호 자체 검사를 통과했습니다.,Auto-test de confidentialité DNS réussi.
Protected DNS path verified: {0} over {1}.,Защищённый DNS-маршрут подтверждён: {0} через {1}.,已验证受保护的 DNS 路径：{0}，通过 {1}。,已驗證受保護的 DNS 路徑：{0}，透過 {1}。,保護された DNS 経路を確認しました: {0} / {1}。,"보호된 DNS 경로 확인됨: {0}, {1} 사용.",Chemin DNS protégé vérifié : {0} via {1}.
DNS privacy self-test failed: {0},Самопроверка конфиденциальности DNS не пройдена: {0},DNS 隐私自检失败：{0},DNS 隱私自檢失敗：{0},DNS プライバシー自己診断に失敗しました: {0},DNS 개인정보 보호 자체 검사 실패: {0},Échec de l’auto-test de confidentialité DNS : {0}
Unknown DNS privacy failure.,Неизвестная ошибка конфиденциальности DNS.,未知的 DNS 隐私故障。,未知的 DNS 隱私故障。,不明な DNS プライバシー障害です。,알 수 없는 DNS 개인정보 보호 오류입니다.,Erreur de confidentialité DNS inconnue.
DNSCrypt mode is not selected.,Режим DNSCrypt не выбран.,未选择 DNSCrypt 模式。,未選擇 DNSCrypt 模式。,DNSCrypt モードが選択されていません。,DNSCrypt 모드가 선택되지 않았습니다.,Le mode DNSCrypt n’est pas sélectionné.
DNSCrypt runtime health-check failed.,Проверка работоспособности DNSCrypt runtime не пройдена.,DNSCrypt 运行时健康检查失败。,DNSCrypt 執行階段健康檢查失敗。,DNSCrypt ランタイムのヘルスチェックに失敗しました。,DNSCrypt 런타임 상태 검사가 실패했습니다.,Échec du contrôle d’état du runtime DNSCrypt.
Administrator DNS interception is not active.,Перехват DNS в режиме администратора не активен.,管理员 DNS 拦截未激活。,系統管理員 DNS 攔截未啟用。,管理者 DNS インターセプトが有効ではありません。,관리자 DNS 가로채기가 활성화되지 않았습니다.,L’interception DNS en mode Administrateur n’est pas active.
Plaintext DNS fallback is not blocked.,Резервный незашифрованный DNS не заблокирован.,明文 DNS 回退未被阻止。,明文 DNS 回退未被封鎖。,平文 DNS フォールバックがブロックされていません。,평문 DNS 폴백이 차단되지 않았습니다.,Le repli DNS en clair n’est pas bloqué.
The active DNS runtime still permits plaintext bootstrap DNS.,Активный DNS runtime всё ещё допускает незашифрованный bootstrap DNS.,活动 DNS 运行时仍允许明文引导 DNS。,作用中的 DNS 執行階段仍允許明文啟動 DNS。,アクティブな DNS ランタイムが平文ブートストラップ DNS を許可しています。,활성 DNS 런타임이 여전히 평문 부트스트랩 DNS를 허용합니다.,Le runtime DNS actif autorise encore le bootstrap DNS en clair.
The active DNS runtime does not ignore system DNS.,Активный DNS runtime не блокирует использование системного DNS.,活动 DNS 运行时未忽略系统 DNS。,作用中的 DNS 執行階段未忽略系統 DNS。,アクティブな DNS ランタイムがシステム DNS を無視していません。,활성 DNS 런타임이 시스템 DNS를 무시하지 않습니다.,Le runtime DNS actif n’ignore pas le DNS système.
Automatic mode is not pinned to a filtered resolver set from the signed catalog.,"Автоматический режим не закреплён за набором резолверов, отфильтрованным из подписанного каталога.",自动模式未固定到从签名目录筛选出的解析器集合。,自動模式未固定到從簽署目錄篩選出的解析器集合。,自動モードが署名済みカタログからフィルターされたリゾルバーセットに固定されていません。,자동 모드가 서명된 카탈로그에서 필터링된 리졸버 집합에 고정되어 있지 않습니다.,Le mode automatique n’est pas limité à un ensemble de résolveurs filtré depuis le catalogue signé.
"Verify the local DNSCrypt health check, Administrator DNS interception, fail-closed policy, system-DNS isolation and active runtime bootstrap configuration.","Проверить локальный DNSCrypt, перехват DNS в режиме администратора, fail-closed, изоляцию системного DNS и bootstrap-конфигурацию активного runtime.",验证本地 DNSCrypt 健康状态、管理员 DNS 拦截、故障关闭策略、系统 DNS 隔离和活动运行时引导配置。,驗證本機 DNSCrypt 健康狀態、系統管理員 DNS 攔截、故障關閉策略、系統 DNS 隔離與作用中執行階段啟動設定。,ローカル DNSCrypt のヘルスチェック、管理者 DNS インターセプト、fail-closed、システム DNS 分離、アクティブランタイムのブートストラップ設定を確認します。,"로컬 DNSCrypt 상태, 관리자 DNS 가로채기, fail-closed 정책, 시스템 DNS 격리 및 활성 런타임 부트스트랩 구성을 확인합니다.","Vérifie l’état DNSCrypt local, l’interception DNS Administrateur, la politique fail-closed, l’isolation du DNS système et le bootstrap du runtime actif."
Unable to save {0}: {1},Не удалось сохранить {0}: {1},无法保存 {0}: {1},無法儲存 {0}: {1},{0} を保存できません: {1},{0}을(를) 저장할 수 없습니다: {1},Impossible d’enregistrer {0} : {1}
Unable to save log viewer settings: {0},Не удалось сохранить настройки просмотра журнала: {0},无法保存日志查看器设置: {0},無法儲存記錄檢視器設定: {0},ログ ビューアー設定を保存できません: {0},로그 뷰어 설정을 저장할 수 없습니다: {0},Impossible d’enregistrer les paramètres de l’afficheur de journaux : {0}
"Automatic mode selects a resolver from the signed catalog using the DNSSEC, no-log, unfiltered and address-family settings above.","Автоматический режим выбирает резолвер из подписанного каталога с учётом указанных выше настроек DNSSEC, отсутствия журналирования, отсутствия фильтрации и семейства адресов.",自动模式使用上方的 DNSSEC、无日志、无过滤和地址族设置从签名目录中选择解析器。,自動模式會使用上方的 DNSSEC、無日誌、無過濾及位址家族設定，從簽署目錄中選擇解析器。,自動モードでは、上記の DNSSEC、ログなし、フィルタなし、アドレスファミリー設定に従って署名済みカタログからリゾルバーを選択します。,"자동 모드는 위의 DNSSEC, 무로그, 무필터 및 주소 패밀리 설정에 따라 서명된 카탈로그에서 리졸버를 선택합니다.","Le mode automatique sélectionne un résolveur dans le catalogue signé selon les paramètres DNSSEC, sans journalisation, sans filtrage et de famille d’adresses ci-dessus."
Show DNSCrypt and DoH runtime diagnostics in the log viewer and allow DNS runtime output to be written. Resolver probe diagnostics and RTT details also require Verbose Logging.,Показывать диагностику DNSCrypt и DoH в просмотрщике журнала и разрешать запись вывода DNS-службы. Для диагностики проверок резолверов и данных RTT также требуется подробное журналирование.,在日志查看器中显示 DNSCrypt 和 DoH 运行时诊断，并允许写入 DNS 运行时输出。解析器探测诊断和 RTT 详情还需要启用详细日志。,在日誌檢視器中顯示 DNSCrypt 與 DoH 執行階段診斷，並允許寫入 DNS 執行階段輸出。解析器探測診斷與 RTT 詳細資料還需要啟用詳細記錄。,ログビューアーに DNSCrypt/DoH のランタイム診断を表示し、DNS ランタイム出力の記録を許可します。リゾルバーのプローブ診断と RTT 詳細には詳細ログも必要です。,로그 뷰어에 DNSCrypt 및 DoH 런타임 진단을 표시하고 DNS 런타임 출력 기록을 허용합니다. 리졸버 프로브 진단과 RTT 세부 정보에는 상세 로깅도 필요합니다.,Afficher les diagnostics d’exécution DNSCrypt et DoH dans le journal et autoriser l’écriture de la sortie DNS. Les diagnostics de sondage des résolveurs et les détails RTT nécessitent aussi la journalisation détaillée.
Install update,Установить обновление,安装更新,安裝更新,アップデートをインストール,업데이트 설치,Installer la mise à jour
"Download, verify and install the selected update automatically.","Скачать, проверить и автоматически установить выбранное обновление.",下载、验证并自动安装所选更新。,下載、驗證並自動安裝所選更新。,選択したアップデートをダウンロード、検証して自動的にインストールします。,선택한 업데이트를 다운로드하고 검증한 뒤 자동으로 설치합니다.,"Télécharger, vérifier et installer automatiquement la mise à jour sélectionnée."
Installing update {0}…,Установка обновления {0}…,正在安装更新 {0}…,正在安裝更新 {0}…,アップデート {0} をインストールしています…,업데이트 {0} 설치 중…,Installation de la mise à jour {0}…
Automatic update failed: {0},Не удалось выполнить автоматическое обновление: {0},自动更新失败：{0},自動更新失敗：{0},自動アップデートに失敗しました: {0},자동 업데이트 실패: {0},Échec de la mise à jour automatique : {0}
Update check failed: {0},Не удалось проверить обновления: {0},检查更新失败：{0},檢查更新失敗：{0},アップデートの確認に失敗しました: {0},업데이트 확인 실패: {0},Échec de la vérification des mises à jour : {0}
Automatically install updates,Автоматически устанавливать обновления,自动安装更新,自動安裝更新,アップデートを自動インストール,업데이트 자동 설치,Installer automatiquement les mises à jour
"Automatically download, verify and install a newer release after the application starts.","После запуска автоматически скачивать, проверять и устанавливать новую версию.",应用启动后自动下载、验证并安装新版本。,應用程式啟動後自動下載、驗證並安裝新版本。,アプリ起動後に新しいリリースを自動的にダウンロード、検証してインストールします。,애플리케이션 시작 후 새 릴리스를 자동으로 다운로드하고 검증한 뒤 설치합니다.,"Télécharger, vérifier et installer automatiquement une nouvelle version après le démarrage de l’application."
Local managed routing,Локальная managed-маршрутизация,本地托管路由,本機受控路由,ローカルマネージドルーティング,로컬 관리형 라우팅,Routage géré local
Local GeoSite and ABP/EasyList network rules are always evaluated by the managed C# FilterEngine. The local PAC contains only a minimal proxy funnel and never evaluates filtering rules.,Локальные сетевые правила GeoSite и ABP/EasyList всегда обрабатываются managed-движком FilterEngine на C#. Local PAC содержит только минимальный переход к прокси и никогда не выполняет правила фильтрации.,本地 GeoSite 和 ABP/EasyList 网络规则始终由托管 C# FilterEngine 处理。Local PAC 只包含最小代理转发逻辑，绝不执行过滤规则。,本機 GeoSite 與 ABP/EasyList 網路規則一律由受控 C# FilterEngine 處理。Local PAC 只包含最小 Proxy 導流邏輯，絕不執行篩選規則。,ローカルの GeoSite および ABP/EasyList ネットワークルールは常にマネージド C# FilterEngine で評価されます。Local PAC は最小限のプロキシ転送だけを含み、フィルタールールは実行しません。,로컬 GeoSite 및 ABP/EasyList 네트워크 규칙은 항상 관리형 C# FilterEngine에서 평가됩니다. Local PAC에는 최소 프록시 전달 로직만 있으며 필터 규칙을 실행하지 않습니다.,Les règles réseau GeoSite et ABP/EasyList locales sont toujours évaluées par le FilterEngine C# géré. Le PAC local ne contient qu’un acheminement minimal vers le proxy et n’évalue jamais les règles de filtrage.
Refresh routing diagnostics,Обновить диагностику маршрутизации,刷新路由诊断,重新整理路由診斷,ルーティング診断を更新,라우팅 진단 새로 고침,Actualiser le diagnostic de routage
"Refresh the local managed-routing generation, rule counts and decision counters shown above.","Обновить показанные выше поколение managed routing, количество правил и счётчики решений.",刷新上方显示的本地托管路由代次、规则数量和决策计数器。,重新整理上方顯示的本機受控路由世代、規則數量與決策計數器。,上に表示されたローカルのマネージドルーティング世代、ルール数、判定カウンターを更新します。,"위에 표시된 로컬 관리형 라우팅 세대, 규칙 수 및 결정 카운터를 새로 고칩니다.","Actualise la génération de routage géré locale, le nombre de règles et les compteurs de décisions affichés ci-dessus."
Effective routing mode: {0},Фактический режим маршрутизации: {0},实际路由模式：{0},實際路由模式：{0},実効ルーティングモード: {0},실제 라우팅 모드: {0},Mode de routage effectif : {0}
"Snapshot: {0}, generation {1}, source: {2}","Snapshot: {0}, поколение {1}, источник: {2}",快照：{0}，代次 {1}，来源：{2},快照：{0}，世代 {1}，來源：{2},スナップショット: {0}、世代 {1}、ソース: {2},"스냅샷: {0}, 세대 {1}, 소스: {2}","Instantané : {0}, génération {1}, source : {2}"
Rules: {0} default + {1} user; invalid: {2},Правила: {0} базовых + {1} пользовательских; некорректных: {2},规则：{0} 个默认 + {1} 个用户；无效：{2},規則：{0} 個預設 + {1} 個使用者；無效：{2},ルール: 既定 {0} + ユーザー {1}、無効: {2},규칙: 기본 {0} + 사용자 {1}; 잘못된 규칙: {2},Règles : {0} par défaut + {1} utilisateur ; invalides : {2}
